City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,pontes e lacerda,-15.2261,-59.3353,14.07,87,100,2.17,BR,1686625427
332,mandan,46.8267,-100.8896,21.56,52,0,2.57,US,1686625147
333,zhaqsy,51.9083,67.3133,11.98,62,90,9.12,KZ,1686625427
334,cartagena,10.3997,-75.5144,28.79,89,40,1.54,CO,1686625427
335,hasaki,35.7333,140.8333,27.9,85,99,5.43,JP,1686625316
336,northam,51.0333,-4.2167,15.37,97,24,0.45,GB,1686625427
337,thurso,58.5927,-3.5259,11.14,92,64,1.63,GB,1686625428
338,tromso,69.6496,18.957,7.01,81,100,10.29,NO,1686625428
339,acatic,20.7833,-102.8833,27.32,25,83,1.46,MX,1686625428
340,gaiman,-43.2897,-65.4929,3.57,58,99,0.51,AR,1686625428
341,spring creek,40.7266,-115.5859,16.33,54,59,1.37,US,1686625428
342,sake,-1.5736,29.045,17.63,91,96,0.45,CD,1686625428
343,ofunato,39.0717,141.7167,21.25,85,89,1.58,JP,1686625428
344,zhangye,38.9342,100.4517,30.4,11,0,6.14,CN,1686625429
345,carutapera,-1.195,-46.02,24.55,93,65,2.91,BR,1686625429
346,burabay,53.0838,70.3138,11.14,72,100,6.01,KZ,1686625429
347,liwale,-9.7667,37.9333,15.9,93,3,0.97,TZ,1686625429
348,mandalgovi,45.7625,106.2708,26.08,18,0,7.66,MN,1686625429
349,villa gesell,-37.2639,-56.973,2.81,79,52,4.89,AR,1686625429
350,st. john's,47.5649,-52.7093,9.26,95,100,7.2,CA,1686625429
351,cadale,2.7603,46.3222,26.03,86,26,7.51,SO,1686625430
352,namibe,-15.1961,12.1522,15.79,79,4,0.99,AO,1686625430
353,nikolayevsk-on-amure,53.1406,140.73,17.3,57,67,3.72,RU,1686625430
354,vila velha,-20.3297,-40.2925,23.3,88,20,2.57,BR,1686625430
355,quellon,-43.1167,-73.6167,1.14,100,75,1.54,CL,1686625430
356,kavaratti,10.5669,72.642,29.6,75,96,9.19,IN,1686625430
357,marmande,44.5,0.1667,17.17,90,84,1.09,FR,1686625430
358,afaahiti,-17.75,-149.2833,27.93,70,28,8.01,PF,1686625431
359,galveston,29.3669,-94.9669,28.33,85,3,0.89,US,1686625209
360,yoloten,37.2989,62.3597,31.75,15,0,0.48,TM,1686625431
361,serdar,38.9764,56.2757,31.9,13,0,0.8,TM,1686625431
